Pair 28[7]: Avg MSE: 1024.40, Avg SSIM: 0.78
Pair 28[8]: Avg MSE: 1692.52, Avg SSIM: 0.75
Pair 28[9]: Avg MSE: 2734.13, Avg SSIM: 0.71
Pair 28[10]: Avg MSE: 4241.64, Avg SSIM: 0.68
Pair 29[1]: Avg MSE: 1373.56, Avg SSIM: 0.89
Pair 29[2]: Avg MSE: 1122.84, Avg SSIM: 0.90
Pair 29[3]: Avg MSE: 918.42, Avg SSIM: 0.89
Pair 29[4]: Avg MSE: 750.21, Avg SSIM: 0.89
Pair 29[5]: Avg MSE: 624.48, Avg SSIM: 0.89
Pair 29[6]: Avg MSE: 550.35, Avg SSIM: 0.88
Pair 29[7]: Avg MSE: 540.00, Avg SSIM: 0.86
Pair 29[8]: Avg MSE: 610.36, Avg SSIM: 0.84
Pair 29[9]: Avg MSE: 777.13, Avg SSIM: 0.82
Pair 29[10]: Avg MSE: 1058.33, Avg SSIM: 0.79
Pair 30[1]: Avg MSE: 970.10, Avg SSIM: 0.88
Pair 30[2]: Avg MSE: 810.74, Avg SSIM: 0.89
Pair 30[3]: Avg MSE: 684.91, Avg SSIM: 0.90
Pair 30[4]: Avg MSE: 603.89, Avg SSIM: 0.89
Pair 30[5]: Avg MSE: 601.17, Avg SSIM: 0.87
Pair 30[6]: Avg MSE: 694.36, Avg SSIM: 0.84
Pair 30[7]: Avg MSE: 940.04, Avg SSIM: 0.81
Pair 30[8]: Avg MSE: 1407.89, Avg SSIM: 0.78
Pair 30[9]: Avg MSE: 2163.93, Avg SSIM: 0.75
Pair 30[10]: Avg MSE: 3276.76, Avg SSIM: 0.72
Pair 31[1]: Avg MSE: 1122.56, Avg SSIM: 0.89
Pair 31[2]: Avg MSE: 942.43, Avg SSIM: 0.90
Pair 31[3]: Avg MSE: 802.75, Avg SSIM: 0.90
Pair 31[4]: Avg MSE: 704.97, Avg SSIM: 0.89
Pair 31[5]: Avg MSE: 638.52, Avg SSIM: 0.88
Pair 31[6]: Avg MSE: 624.58, Avg SSIM: 0.87
Pair 31[7]: Avg MSE: 685.75, Avg SSIM: 0.85
Pair 31[8]: Avg MSE: 871.02, Avg SSIM: 0.82
Pair 31[9]: Avg MSE: 1209.37, Avg SSIM: 0.79
Pair 31[10]: Avg MSE: 1743.66, Avg SSIM: 0.76
Pair 32[1]: Avg MSE: 928.97, Avg SSIM: 0.89
Pair 32[2]: Avg MSE: 664.47, Avg SSIM: 0.91
Pair 32[3]: Avg MSE: 444.20, Avg SSIM: 0.92
Pair 32[4]: Avg MSE: 306.86, Avg SSIM: 0.92
Pair 32[5]: Avg MSE: 309.28, Avg SSIM: 0.90
Pair 32[6]: Avg MSE: 527.25, Avg SSIM: 0.87
Pair 32[7]: Avg MSE: 1061.22, Avg SSIM: 0.84
Pair 32[8]: Avg MSE: 2032.37, Avg SSIM: 0.79
Pair 32[9]: Avg MSE: 3500.25, Avg SSIM: 0.75
Pair 32[10]: Avg MSE: 5205.17, Avg SSIM: 0.71
Pair 33[1]: Avg MSE: 1003.78, Avg SSIM: 0.86
Pair 33[2]: Avg MSE: 796.82, Avg SSIM: 0.87
Pair 33[3]: Avg MSE: 645.25, Avg SSIM: 0.87
Pair 33[4]: Avg MSE: 559.15, Avg SSIM: 0.86
Pair 33[5]: Avg MSE: 559.88, Avg SSIM: 0.83
Pair 33[6]: Avg MSE: 674.39, Avg SSIM: 0.80
Pair 33[7]: Avg MSE: 942.62, Avg SSIM: 0.76
Pair 33[8]: Avg MSE: 1401.24, Avg SSIM: 0.72
Pair 33[9]: Avg MSE: 2077.43, Avg SSIM: 0.68
Pair 33[10]: Avg MSE: 3012.12, Avg SSIM: 0.65
Pair 34[1]: Avg MSE: 1059.69, Avg SSIM: 0.85
Pair 34[2]: Avg MSE: 795.18, Avg SSIM: 0.87
Pair 34[3]: Avg MSE: 579.01, Avg SSIM: 0.88
Pair 34[4]: Avg MSE: 453.99, Avg SSIM: 0.87
Pair 34[5]: Avg MSE: 466.75, Avg SSIM: 0.85
Pair 34[6]: Avg MSE: 699.58, Avg SSIM: 0.82
Pair 34[7]: Avg MSE: 1258.78, Avg SSIM: 0.79
Pair 34[8]: Avg MSE: 2272.60, Avg SSIM: 0.75
Pair 34[9]: Avg MSE: 3724.21, Avg SSIM: 0.71
Pair 34[10]: Avg MSE: 5303.78, Avg SSIM: 0.67
Pair 35[1]: Avg MSE: 842.22, Avg SSIM: 0.87
Pair 35[2]: Avg MSE: 660.68, Avg SSIM: 0.88
Pair 35[3]: Avg MSE: 569.06, Avg SSIM: 0.87
Pair 35[4]: Avg MSE: 561.54, Avg SSIM: 0.84
Pair 35[5]: Avg MSE: 580.20, Avg SSIM: 0.82
Pair 35[6]: Avg MSE: 662.72, Avg SSIM: 0.80
Pair 35[7]: Avg MSE: 856.24, Avg SSIM: 0.77
Pair 35[8]: Avg MSE: 1205.75, Avg SSIM: 0.74
Pair 35[9]: Avg MSE: 1754.40, Avg SSIM: 0.71
Pair 35[10]: Avg MSE: 2534.20, Avg SSIM: 0.68
Pair 36[1]: Avg MSE: 941.48, Avg SSIM: 0.90
Pair 36[2]: Avg MSE: 709.99, Avg SSIM: 0.91
Pair 36[3]: Avg MSE: 529.50, Avg SSIM: 0.91
Pair 36[4]: Avg MSE: 415.69, Avg SSIM: 0.90
Pair 36[5]: Avg MSE: 371.76, Avg SSIM: 0.89
Pair 36[6]: Avg MSE: 404.57, Avg SSIM: 0.86
Pair 36[7]: Avg MSE: 529.28, Avg SSIM: 0.83
Pair 36[8]: Avg MSE: 747.47, Avg SSIM: 0.80
Pair 36[9]: Avg MSE: 1068.89, Avg SSIM: 0.76
Pair 36[10]: Avg MSE: 1508.91, Avg SSIM: 0.73
Pair 37[1]: Avg MSE: 908.08, Avg SSIM: 0.88
Pair 37[2]: Avg MSE: 636.68, Avg SSIM: 0.89
Pair 37[3]: Avg MSE: 428.49, Avg SSIM: 0.90
Pair 37[4]: Avg MSE: 296.42, Avg SSIM: 0.89
Pair 37[5]: Avg MSE: 264.61, Avg SSIM: 0.88
Pair 37[6]: Avg MSE: 355.42, Avg SSIM: 0.85
Pair 37[7]: Avg MSE: 601.64, Avg SSIM: 0.82
Pair 37[8]: Avg MSE: 1037.01, Avg SSIM: 0.77
Pair 37[9]: Avg MSE: 1684.82, Avg SSIM: 0.73
Pair 37[10]: Avg MSE: 2586.65, Avg SSIM: 0.68
Pair 38[1]: Avg MSE: 1176.07, Avg SSIM: 0.89
Pair 38[2]: Avg MSE: 960.86, Avg SSIM: 0.90
Pair 38[3]: Avg MSE: 841.19, Avg SSIM: 0.88
Pair 38[4]: Avg MSE: 764.13, Avg SSIM: 0.87
Pair 38[5]: Avg MSE: 694.57, Avg SSIM: 0.86
Pair 38[6]: Avg MSE: 687.15, Avg SSIM: 0.85
Pair 38[7]: Avg MSE: 746.62, Avg SSIM: 0.83
Pair 38[8]: Avg MSE: 885.97, Avg SSIM: 0.81
Pair 38[9]: Avg MSE: 1120.72, Avg SSIM: 0.79
Pair 38[10]: Avg MSE: 1462.46, Avg SSIM: 0.76
Pair 39[1]: Avg MSE: 1073.21, Avg SSIM: 0.87
Pair 39[2]: Avg MSE: 852.89, Avg SSIM: 0.88
Pair 39[3]: Avg MSE: 677.22, Avg SSIM: 0.89
Pair 39[4]: Avg MSE: 561.43, Avg SSIM: 0.89
Pair 39[5]: Avg MSE: 511.23, Avg SSIM: 0.88
Pair 39[6]: Avg MSE: 544.39, Avg SSIM: 0.87
Pair 39[7]: Avg MSE: 681.74, Avg SSIM: 0.84
Pair 39[8]: Avg MSE: 936.43, Avg SSIM: 0.82
Pair 39[9]: Avg MSE: 1321.58, Avg SSIM: 0.78
Pair 39[10]: Avg MSE: 1846.72, Avg SSIM: 0.75
Pair 40[1]: Avg MSE: 896.26, Avg SSIM: 0.88
Pair 40[2]: Avg MSE: 650.30, Avg SSIM: 0.89
Pair 40[3]: Avg MSE: 487.31, Avg SSIM: 0.88
Pair 40[4]: Avg MSE: 451.54, Avg SSIM: 0.85
Pair 40[5]: Avg MSE: 614.52, Avg SSIM: 0.81
Pair 40[6]: Avg MSE: 1078.09, Avg SSIM: 0.77
Pair 40[7]: Avg MSE: 1971.48, Avg SSIM: 0.72
